{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58221', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58223', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58224', 'destinationIp': '165.225.216.24', 'destinationPort': '80', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58226', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58228', 'destinationIp': '165.225.56.32', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58230', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58232', 'destinationIp': '34.120.208.123', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '12748'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58233', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58236', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58237', 'destinationIp': '165.225.56.32', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '12540'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58238', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58243', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58246', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58248', 'destinationIp': '142.250.68.132', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '12748'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '65003', 'destinationIp': '20.7.1.246', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '9164'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '65006', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
